Day,Hour,Minute,Netwokr
5,17,3,40.89435359354883
5,17,2,32.1543440632986
5,17,1,30.021658553400883
5,17,0,35.52172861630181
5,16,59,50.51029342002983
5,16,58,53.180084811274995
5,16,57,53.86483142317566
5,16,56,45.65628678867493
5,16,55,47.21062069668306
5,16,54,42.10659077544906
5,16,53,51.03978809257449
5,16,52,52.20923658210776
5,16,51,44.37565580761015
5,16,50,55.27679536407459
5,16,49,45.6582566253809
5,16,48,51.70110609982981
5,16,47,42.44823579457677
5,16,46,52.08367795650407
5,16,45,47.62717559860988
5,16,44,45.489080757503785
5,16,43,52.17672367055749
5,16,42,46.79631928252385
5,16,41,53.583543082271575
5,16,40,43.691426616194306
5,16,39,46.107937211875885
5,16,38,40.85288749724712
5,16,37,55.25474437181916
5,16,36,48.58006567052313
5,16,35,53.05773274428426
5,16,34,53.469157995836085
5,16,33,49.361729295909164
5,16,32,45.66368267476128
5,16,31,44.62447904734096
5,16,30,47.82648507231169
5,16,29,52.97188384424879
5,16,28,46.39736622127483
5,16,27,45.252625414845745
5,16,26,45.566869812944915
5,16,25,47.32825891531209
5,16,24,40.82080500574966
5,16,23,40.48724949197845
5,16,22,44.01522051311181
5,16,21,53.58870834642279
5,16,20,52.04740578735593
5,16,19,54.34020550147222
5,16,18,50.24860285589406
5,16,17,47.88789515090173
5,16,16,47.1643681765301
5,16,15,50.89062514782786
5,16,14,50.079144193772095
5,16,13,42.90906846256726
5,16,12,47.671959952013886
5,16,11,53.08126687150548
5,16,10,46.796089476809655
5,16,9,51.74684336761697
5,16,8,41.700992764701944
5,16,7,55.562109909436025
5,16,6,45.429515025487305
5,16,5,42.256473423949224
5,16,4,55.82718364075204
5,16,3,44.36402443770236
5,16,2,49.0659969088889
5,16,1,51.654478211965554
5,16,0,50.07789425453477
5,15,59,45.288866387946406
5,15,58,41.664171222321905
5,15,57,47.069322012265516
5,15,56,42.11671997974505
5,15,55,44.47677189579123
5,15,54,44.30649149560866
5,15,53,54.72334479065492
5,15,52,40.36955559236514
5,15,51,41.06958859721475
5,15,50,48.853463438906374
5,15,49,53.45694505733978
5,15,48,44.41883001879143
5,15,47,45.36710901146358
5,15,46,51.90989360544759
5,15,45,54.151702443294994
5,15,44,45.609326524813255
5,15,43,44.776180127897675
5,15,42,44.900639134853954
5,15,41,49.354586213617296
5,15,40,52.09756385679511
5,15,39,53.30654138413633
5,15,38,43.13685981724827
5,15,37,46.42939917106657
5,15,36,48.39178468621987
5,15,35,43.66610247389737
5,15,34,48.206776513422355
5,15,33,41.98233318795979
5,15,32,54.895434990464864
5,15,31,44.71292945363586
5,15,30,53.48616801173524
5,15,29,47.25639937666095
5,15,28,46.91481587232229
5,15,27,41.34640424689683
5,15,26,42.82789515355807
5,15,25,51.76041723618712
5,15,24,50.26053036357125
5,15,23,40.92661600524436
5,15,22,43.98549211597149
5,15,21,53.18829053172214
5,15,20,43.32459127744537
5,15,19,51.27786613308088
5,15,18,42.21932244016928
5,15,17,51.41793252356474
5,15,16,46.48427454267732
5,15,15,53.93948567608186
5,15,14,48.465605506447574
5,15,13,49.146062596861235
5,15,12,40.78273274740925
5,15,11,54.77170079463526
5,15,10,52.996816167486365
5,15,9,45.76850125223681
5,15,8,48.13325378161923
5,15,7,41.12133885996184
5,15,6,43.04687596314677
5,15,5,50.341577166840736
5,15,4,43.94577810585365
5,15,3,46.79861492614328
5,15,2,44.04791017385907
5,15,1,51.73801662729031
5,15,0,44.56395168189914
5,14,59,41.61187195421534
5,14,58,45.88266259819653
5,14,57,42.42829545872972
5,14,56,43.21126778887782
5,14,55,42.7546162760049
5,14,54,49.01172548787706
5,14,53,44.42233264579026
5,14,52,48.13602262932041
5,14,51,40.77921423204687
5,14,50,41.49164585457653
5,14,49,44.469018729209814
5,14,48,47.31610875960055
5,14,47,43.730386749072785
5,14,46,48.626046792094584
5,14,45,45.051732701105834
5,14,44,47.779913548091194
5,14,43,41.773103014465676
5,14,42,41.56350105978361
5,14,41,50.91684268554323
5,14,40,42.74538216399713
5,14,39,49.097765940482255
5,14,38,52.8904099429542
5,14,37,49.44706499155723
5,14,36,46.83691156570941
5,14,35,44.08652956746318
5,14,34,45.49005604318712
5,14,33,43.268858935374396
5,14,32,45.54477928325115
5,14,31,40.98470960819988
5,14,30,50.44990580420075
5,14,29,48.94880011482053
5,14,28,46.75070377678473
5,14,27,40.115856684176904
5,14,26,48.07606353178339
5,14,25,53.097656750418935
5,14,24,50.454066486053605
5,14,23,50.64242371680681
5,14,22,47.779568385965796
5,14,21,50.491826857493805
5,14,20,48.43779636634848
5,14,19,40.862061486793124
5,14,18,50.72215273864417
5,14,17,41.66364170954445
5,14,16,50.48669382176116
5,14,15,53.63226290602862
5,14,14,48.5276391958566
5,14,13,46.30496634964218
5,14,12,47.2927184174129
5,14,11,52.030224659555486
5,14,10,45.13633083302687
5,14,9,51.774543336218244
5,14,8,48.982369326875784
5,14,7,50.64769436104154
5,14,6,40.20960490790603
5,14,5,44.5505959411891
5,14,4,45.07403133483457
5,14,3,49.72756273177485
5,14,2,47.14076730607475
5,14,1,48.61953675864494
5,14,0,44.82137928912809
5,13,59,44.237624972611535
5,13,58,50.34603762840001
5,13,57,43.97254478676424
5,13,56,47.87906473557609
5,13,55,52.46896327046786
5,13,54,40.346844866081035
